 10/200  {'have': 6, 'wrote': 4}
 20/200  {'have': 6, 'wrote': 14}
 30/200  {'have': 6, 'wrote': 24}
 40/200  {'have': 6, 'wrote': 34}
 50/200  {'have': 6, 'wrote': 44}
 60/200  {'have': 6, 'wrote': 54}
 70/200  {'have': 6, 'wrote': 64}
 80/200  {'have': 6, 'wrote': 74}
 90/200  {'have': 6, 'wrote': 84}
100/200  {'have': 6, 'wrote': 94}
110/200  {'have': 6, 'wrote': 104}
120/200  {'have': 6, 'wrote': 114}
130/200  {'have': 6, 'wrote': 124}
140/200  {'have': 6, 'wrote': 134}
150/200  {'have': 6, 'wrote': 144}
160/200  {'have': 6, 'wrote': 154}
170/200  {'have': 6, 'wrote': 164}
180/200  {'have': 6, 'wrote': 174}
190/200  {'have': 6, 'wrote': 184}
200/200  {'have': 6, 'wrote': 194}
